Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_share,Comment_Website,Comment_Name,Comment_Author__URL,Comment_Timestamp,Comment_Content,Comment_Image_URL,Comment_Video_URL,Comment_Number_of_Likes,Comment_Number_of_Retweets,Comment_Number_of_Reviews,Comment_Number_of_share
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312030430535786497,@BancoSabadell,https://twitter.com/BancoSabadell,1601647405000,"'Las claves de la felicidad' es la nueva cita de #SabadellForum que te trae  con , socio fundador de  y . No te pierdas la charla el próximo 06/10 a las 15:30h. Síguelo #endirecto  
    cc ",https://pbs.twimg.com/media/EjVEslGXkAAVq75?format=jpg&name=small,null,5,1,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312044668402782208,@BancoSabadell,https://twitter.com/BancoSabadell,1601650800000,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,https://pbs.twimg.com/media/EjU63STWkAEayjP?format=jpg&name=small,null,10,4,1,null,https://twitter.com/RafaBriGal/status/1312046181556670467,@RafaBriGal,https://twitter.com/RafaBriGal,1601651160000,"Jajajajajajajajaja. Nos habéis acompañado dicen, claro!!! Poniendo comisiones a cuentas firmadas sin ellas, y no dando la moratoria de hipotecas a gente que le corresponde. Id con el cuento a otro sitio...",null,null,1,,,null
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312044668402782208,@BancoSabadell,https://twitter.com/BancoSabadell,1601650800000,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,https://pbs.twimg.com/media/EjU63STWkAEayjP?format=jpg&name=small,null,10,4,1,null,https://twitter.com/BancoSabadell/status/1312044668402782208/retweets,@BancoSabadell,https://twitter.com/BancoSabadell,null,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,null,null,null,null,null,null
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311982125437063168,@BancoSabadell,https://twitter.com/BancoSabadell,1601635888000,"#CMSBeOpen | Manuel Sancho, Head of Customer Experience: "" apuesta por poner al cliente en el centro de su estrategia. La tecnología y la #Digitalización, en nuestro caso, son habilitadores para ofrecer una mejor experiencia de cliente""  #EstarDondeEstés#CMSBeOpen | Manuel Sancho: ""La prioridad de @BancoSabadell cuando se decretó el estado de alarma fue estar siempre cerca de sus clientes. Los llamamos para saber si estaban bien y les ofrecimos ayuda. Queríamos que no se preocupasen"" @CMSPeople #EstarDondeEstés",null,null,1,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/sabadellprensa/status/1312017575841329152,@sabadellprensa,https://twitter.com/sabadellprensa,1601644340000,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,https://pbs.twimg.com/card_img/1311540202679271427/_IH7hsN_?format=jpg&name=small,null,4,2,3,null,https://twitter.com/Davidniemira/status/1312035362865373185,@Davidniemira,https://twitter.com/Davidniemira,1601648581000,¿En el futuro habrá pensiones? Lo dudo mucho. Tengo 27 años y no cuento con una pensión pública para mi vejez ni de broma. Tenemos que ahorrar e invertir en crear un patrimonio propio.,null,null,,,,null
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/sabadellprensa/status/1312017575841329152,@sabadellprensa,https://twitter.com/sabadellprensa,1601644340000,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,https://pbs.twimg.com/card_img/1311540202679271427/_IH7hsN_?format=jpg&name=small,null,4,2,3,null,https://twitter.com/sabadellprensa/status/1312017575841329152/retweets,@sabadellprensa,https://twitter.com/sabadellprensa,null,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,null,null,null,null,null,null
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311918062493368320,@BancoSabadell,https://twitter.com/BancoSabadell,1601620615000,"#TransformaciónDigital |  de  te facilita la guía de las pymes para ser más eficientes en la #NuevaNormalidad 
     #EstarDondeEstés
    #EstarDondeEstés.@nomo_negocios de @BancoSabadell publica las directrices para que #pymes y #autónomos gestionen la #TransformaciónDigital de su negocio para ahorrar dinero y tiempo https://viaempresa.cat/es/economia/guia-digitalizacion-pymes-nomo_2137504_102.html… vía @VIAEmpresa_es 
    #EstarDondeEstés",null,null,2,,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311923872657096705,@BancoSabadell,https://twitter.com/BancoSabadell,1601622000000,#SabadellNegocioInternacional impulsa el programa #ExportarParaCrecer con       y  para acompañar a las empresas en la exportación e internacionalización de sus negocios  #EstardondeEstes#SabadellNegocioInternacional | Cuál es el estado actual del negocio exterior de las empresas españolas y cómo pueden ayudarlas en su proceso de internacionalización los socios de #ExportarParaCrecer  https://sab.to/3d1A2aJ vía @empresaexterior #EstarDondeEstés,null,null,8,4,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311956050627751936,@BancoSabadell,https://twitter.com/BancoSabadell,1601629672000,"#TransformaciónDigital | La #digitalización para  es un pilar para afianzar la mejora del servicio y la experiencia cliente. Descubre cuales son las últimas tendencias sobre la digitalización del sector financiero 
    #EstarDondeEstés",https://pbs.twimg.com/card_img/1311219270089674752/tv3lKc-e?format=jpg&name=small,null,5,3,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311961621942730752,@BancoSabadell,https://twitter.com/BancoSabadell,1601631000000,#EstarDondeEstés | ¿Cómo se pueden detectar fraudes online usando la #InteligenciaArtificial y el #MachineLearning? Conoce todas las claves en este artículo:,https://pbs.twimg.com/card_img/1311948903122698240/q8as14QA?format=jpg&name=small,null,3,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
