,labels_t,labels_r,Web_Page_URL,Tweet_Website,Author_Name,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_share,Comment_Content,datetime,stars_t,stars_r,Tweet_Website_n,Web_Page_URL_n,tweet_id,name,year,month,year_month
0,5 stars,1 star,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311707175887265800,Bankia,1601570335000.0,"“Crear y gestionar entidades más fuertes, con un mayor tamaño crítico y mayor rentabilidad, es la mejor aportación que desde el sector financiero podemos hacer para ayudar a nuestra sociedad a superar esta crisis”, concluye Goirigolzarri. #foroguadarrama20",6.0,3.0,0.0,0,undefined,2020-10-01 16:38:55,5,1,https://twitter.com/Bankia/status/1311707175887265800,https://twitter.com/Bankia,1311707175887265800,Bankia,2020,10,2020-10-01
1,5 stars,1 star,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"El compromiso social os lo pasáis por el forro. O no es compromiso social el derecho del cliente a una atención digna? Tira de web y apañate, que te contestarán el correo a los 15 días, o tal vez ni te contesten. LA MEN TA BLE",2020-09-25 07:36:54,5,1,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
2,5 stars,1 star,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312030430535786497,BancoSabadell,1601647405000.0,"'Las claves de la felicidad' es la nueva cita de #SabadellForum que te trae  con , socio fundador de  y . No te pierdas la charla el próximo 06/10 a las 15:30h. Síguelo #endirecto  
    cc ",5.0,1.0,0.0,0,undefined,2020-10-02 14:03:25,5,1,https://twitter.com/BancoSabadell/status/1312030430535786497,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1312030430535786497,BancoSabadell,2020,10,2020-10-01
4,5 stars,1 star,https://twitter.com/bbva,https://twitter.com/bbva/status/1311212458862874625,bbva,1601452385000.0,"¿Has probado alguna vez la patata de Prades?  Su color blanquecino, su textura consistente, su gusto dulce y su aroma a castañas te conquistarán . ¡Te contamos cómo cocinarlas!  #MiRecetaSostenible",2.0,0.0,0.0,0,undefined,2020-09-30 07:53:05,5,1,https://twitter.com/bbva/status/1311212458862874625,https://twitter.com/bbva,1311212458862874625,bbva,2020,9,2020-09-01
5,5 stars,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/IRMagazine/status/1311686969529905159,IRMagazine,1601565518000.0,Congratulations to  for winning the best use of multimedia for IR award #irawards #irchat,2.0,1.0,0.0,0,undefined,2020-10-01 15:18:38,5,1,https://twitter.com/IRMagazine/status/1311686969529905159,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311686969529905159,bancosantander,2020,10,2020-10-01
6,5 stars,1 star,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"Hay que sacar el dinero de éstos bancos.
    Que no lo utilicen para tontadas antes de que no valga nada",2020-09-25 07:36:54,5,1,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
7,5 stars,1 star,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312044668402782208,BancoSabadell,1601650800000.0,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,10.0,4.0,1.0,0,"Jajajajajajajajaja. Nos habéis acompañado dicen, claro!!! Poniendo comisiones a cuentas firmadas sin ellas, y no dando la moratoria de hipotecas a gente que le corresponde. Id con el cuento a otro sitio...",2020-10-02 15:00:00,5,1,https://twitter.com/BancoSabadell/status/1312044668402782208,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1312044668402782208,BancoSabadell,2020,10,2020-10-01
8,5 stars,1 star,https://twitter.com/bbva,https://twitter.com/bbva/status/1311236914004078593,bbva,1601458216000.0," ""En BBVA los clientes constituyen la piedra angular del trabajo diario, la estrategia y la actividad"" afirma José Ramón Vizmanos, responsable de grandes clientes, en una entrevista a . ¡Sigue leyendo! ",5.0,2.0,0.0,0,undefined,2020-09-30 09:30:16,5,1,https://twitter.com/bbva/status/1311236914004078593,https://twitter.com/bbva,1311236914004078593,bbva,2020,9,2020-09-01
9,3 stars,3 stars,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/ING_es/status/1308718391260217346,ING_es,1600857753000.0,"¿Qué pasa con las #pensiones?
    
    Las pensiones públicas no van a desaparecer, pero sí es cierto que cada vez habrá menos trabajadores por cada pensionista. Francisco Quintana, responsable de Estrategia de #Inversión de ING, nos da todos los detalles en este vídeo.
    
    ",13.0,1.0,5.0,0,"¿Qué pasa con las #pensiones?
    
    Las pensiones públicas no van a desaparecer, pero sí es cierto que cada vez habrá menos trabajadores por cada pensionista. Francisco Quintana, responsable de Estrategia de #Inversión de ING, nos da todos los detalles en este vídeo.
    
    ",2020-09-23 10:42:33,3,3,https://twitter.com/ING_es/status/1308718391260217346,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1308718391260217346,ING_es,2020,9,2020-09-01
10,1 star,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/bancosantander/status/1311696456361930753,bancosantander,1601567779000.0,"Cierre acción $SAN (Madrid): 1,5800€ (-1,23%)",5.0,2.0,1.0,0,#triplebarf,2020-10-01 15:56:19,1,1,https://twitter.com/bancosantander/status/1311696456361930753,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311696456361930753,bancosantander,2020,10,2020-10-01
